name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
John A. Gupton College,Tennessee,TN,Private,2 Year,,10450,10450,10450,10450,,,,,,
John A. Logan College,Illinois,IL,Public,2 Year,,3600,3600,5940,5940,,,,,,
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152,5,Arkansas,47000,82700,53,9
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214,11,Ohio,51600,97300,39,16
John F. Kennedy University,California,CA,Private,4 Year,,18261,18261,18261,18261,,,,,,
John Paul the Great Catholic University,California,CA,Private,4 Year,7650,26100,33750,26100,33750,,,,,,
John Tyler Community College,Virginia,VA,Public,2 Year,,4800,4800,10098,10098,,,,,,
John Wesley University,North Carolina,NC,Private,4 Year,3600,13330,16930,13330,16930,18,North-Carolina,45100,82100,,0
John Wood Community College,Illinois,IL,Public,2 Year,,4890,4890,8190,8190,,,,,,
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076,3,Maryland,67200,117100,57,31
Johns Hopkins University: Peabody Conservatory of Music,Maryland,MD,Private,4 Year,15838,50180,66018,50180,66018,,,,,,
Johnson & Wales University: Charlotte,North Carolina,NC,Private,4 Year,14148,32091,46239,32091,46239,,,,,,
Johnson & Wales University: Denver,Colorado,CO,Private,4 Year,12546,32091,44637,32091,44637,,,,,,
Johnson & Wales University: North Miami,Florida,FL,Private,4 Year,12564,32091,44655,32091,44655,,,,,,
Johnson & Wales University: Providence,Rhode Island,RI,Private,4 Year,14337,32091,46428,32091,46428,,,,,,
Johnson C. Smith University,North Carolina,NC,Private,4 Year,7100,18236,25336,18236,25336,,,,,,
Johnson College,Pennsylvania,PA,Private,2 Year,8250,18641,26891,18641,26891,,,,,,
Johnson County Community College,Kansas,KS,Public,2 Year,,2790,2790,6600,6600,,,,,,
Johnson University,Tennessee,TN,Private,4 Year,6700,16060,22760,16060,22760,,,,,,
Johnson University: Florida,Florida,FL,Private,4 Year,7040,16060,23100,16060,23100,,,,,,
Johnston Community College,North Carolina,NC,Public,2 Year,,2497,2497,8257,8257,,,,,,
Joliet Junior College,Illinois,IL,Public,2 Year,,4380,4380,13140,13140,,,,,,
Jones County Junior College,Mississippi,MS,Public,2 Year,4132,3440,7572,5440,9572,,,,,,
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100,23,Alabama,37900,67600,65,13
Judson University,Illinois,IL,Private,4 Year,9988,29860,39848,29860,39848,,,,,,
Juilliard School,New York,NY,Private,4 Year,16950,45360,62310,45360,62310,,,,,,
Juniata College,Pennsylvania,PA,Private,4 Year,12521,45597,58118,45597,58118,,,,,,
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272,8,Michigan,51600,94500,52,31
Kalamazoo Valley Community College,Michigan,MI,Public,2 Year,,3446,3446,7646,7646,,,,,,
Kankakee Community College,Illinois,IL,Public,2 Year,,4620,4620,22382,22382,,,,,,
Kansas City Art Institute,Missouri,MO,Private,4 Year,10400,38400,48800,38400,48800,22,Missouri,42500,77700,37,0
Kansas City Kansas Community College,Kansas,KS,Public,2 Year,,3120,3120,6510,6510,,,,,,
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447,2,Kansas,52500,97200,51,18
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000,15,Kansas,44700,79400,61,10
Kaskaskia College,Illinois,IL,Public,2 Year,,4470,4470,12330,12330,,,,,,
Kean University,New Jersey,NJ,Public,4 Year,14470,12348,26818,19383,33853,22,New-Jersey,48200,90000,51,10
Keene State College,New Hampshire,NH,Public,4 Year,11026,14212,25238,23176,34202,10,New-Hampshire,48900,83600,49,8
Kehilath Yakov Rabbinical Seminary,New York,NY,Private,4 Year,2800,9700,12500,9700,12500,,,,,,
Keiser University,Florida,FL,Private,4 Year,,29920,29920,29920,29920,,,,,,
Kellogg Community College,Michigan,MI,Public,2 Year,,4083,4083,8350,8350,,,,,,
Kennebec Valley Community College,Maine,ME,Public,2 Year,,3462,3462,6282,6282,,,,,,
Kennesaw State University,Georgia,GA,Public,4 Year,11467,7432,18899,21158,32625,5,Georgia,52500,94600,46,22
Kent State University,Ohio,OH,Public,4 Year,11362,10012,21374,18714,30076,,,,,,
Kent State University: Ashtabula,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: East Liverpool,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: Geauga,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: Salem,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: Stark,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: Trumbull,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kent State University: Tuscarawas,Ohio,OH,Public,2 Year,,5664,5664,14366,14366,,,,,,
Kentucky Christian University,Kentucky,KY,Private,4 Year,8270,19820,28090,19820,28090,22,Kentucky,39600,70300,68,3
Kentucky Mountain Bible College,Kentucky,KY,Private,4 Year,5050,9460,14510,9460,14510,,,,,,
Kentucky State University,Kentucky,KY,Public,4 Year,6690,8090,14780,19390,26080,18,Kentucky,40700,73100,57,13
Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764,26440,36204,26440,36204,14,Kentucky,42100,76800,65,14
Kenyon College,Ohio,OH,Private,4 Year,12510,55930,68440,55930,68440,7,Ohio,55000,103800,50,17
Kettering College,Ohio,OH,Private,4 Year,4100,16200,20300,16200,20300,14,Ohio,54300,95800,,0
Kettering University,Michigan,MI,Private,4 Year,8240,43490,51730,43490,51730,1,Michigan,69900,125000,44,74
Keuka College,New York,NY,Private,4 Year,11906,32093,43999,32093,43999,,,,,,
Key College,Florida,FL,For Profit,2 Year,,11085,11085,11085,11085,,,,,,
Keystone College,Pennsylvania,PA,Private,4 Year,11900,26920,38820,26920,38820,,,,,,
Kilgore College,Texas,TX,Public,2 Year,4916,2370,7286,6240,11156,,,,,,
King University,Tennessee,TN,Private,4 Year,8762,29714,38476,29714,38476,,,,,,
King's College,Pennsylvania,PA,Private,4 Year,12940,37226,50166,37226,50166,,,,,,
Kirkwood Community College,Iowa,IA,Public,2 Year,,5170,5170,6550,6550,,,,,,
Kirtland Community College,Michigan,MI,Public,2 Year,,4170,4170,8130,8130,,,,,,
Kishwaukee College,Illinois,IL,Public,2 Year,,4770,4770,13290,13290,,,,,,
Klamath Community College,Oregon,OR,Public,2 Year,,5496,5496,8714,8714,,,,,,
Knox College,Illinois,IL,Private,4 Year,9870,46554,56424,46554,56424,15,Illinois,50600,95400,45,24
Kutztown University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10334,10802,21136,14660,24994,,,,,,
Kuyper College,Michigan,MI,Private,4 Year,7285,21989,29274,21989,29274,,,,,,
La Roche College,Pennsylvania,PA,Private,4 Year,11556,28564,40120,28564,40120,,,,,,
La Salle University,Pennsylvania,PA,Private,4 Year,15080,30560,45640,30560,45640,15,Pennsylvania,55800,104800,40,5
La Sierra University,California,CA,Private,4 Year,8415,32778,41193,32778,41193,,,,,,
Labette Community College,Kansas,KS,Public,2 Year,,3060,3060,3810,3810,,,,,,
Laboure College,Massachusetts,MA,Private,2 Year,,36863,36863,36863,36863,,,,,,
Lac Courte Oreilles Ojibwa Community College,Wisconsin,WI,Public,2 Year,,5850,5850,5850,5850,,,,,,
Lackawanna College,Pennsylvania,PA,Private,2 Year,10300,15450,25750,15450,25750,,,,,,
Lafayette College,Pennsylvania,PA,Private,4 Year,15640,52880,68520,52880,68520,6,Pennsylvania,66500,122500,37,47
LaGrange College,Georgia,GA,Private,4 Year,11630,30470,42100,30470,42100,,,,,,
Laguna College of Art and Design,California,CA,Private,4 Year,10000,30700,40700,30700,40700,,,,,,
Lake Area Technical Institute,South Dakota,SD,Public,2 Year,,6364,6364,6364,6364,,,,,,
Lake Erie College,Ohio,OH,Private,4 Year,9908,31422,41330,31422,41330,,,,,,
Lake Forest College,Illinois,IL,Private,4 Year,10390,47064,57454,47064,57454,9,Illinois,55400,102600,46,21
Lake Land College,Illinois,IL,Public,2 Year,,4110,4110,13736,13736,,,,,,
Lake Michigan College,Michigan,MI,Public,2 Year,7252,4500,11752,6345,13597,,,,,,
Lake Region State College,North Dakota,ND,Public,2 Year,6660,4475,11135,4475,11135,,,,,,
Lake Superior College,Minnesota,MN,Public,2 Year,,5166,5166,6270,6270,,,,,,
Lake Superior State University,Michigan,MI,Public,4 Year,9882,12090,21972,12090,21972,24,Michigan,45900,83500,48,14
Lake Tahoe Community College,California,CA,Public,2 Year,,1410,1410,9825,9825,,,,,,
Lake Washington Institute of Technology,Washington,WA,Public,2 Year,,4879,4879,5313,5313,,,,,,
Lake-Sumter State College,Florida,FL,Public,2 Year,,3172,3172,13276,13276,,,,,,
Lakeland Community College,Ohio,OH,Public,2 Year,,3849,3849,10038,10038,,,,,,
Lakeland University,Wisconsin,WI,Private,4 Year,9234,28870,38104,28870,38104,,,,,,
Lakes Region Community College,New Hampshire,NH,Public,2 Year,,6720,6720,14970,14970,,,,,,
Lakeshore Technical College,Wisconsin,WI,Public,2 Year,,4020,4020,6030,6030,,,,,,
Lakeview College of Nursing,Illinois,IL,Private,4 Year,,16320,16320,16320,16320,18,Illinois,55000,94100,83,0
Lamar Community College,Colorado,CO,Public,2 Year,6588,3950,10538,6332,12920,,,,,,
Lamar Institute of Technology,Texas,TX,Public,2 Year,,5634,5634,18084,18084,,,,,,
Lamar State College at Orange,Texas,TX,Public,2 Year,,5330,5330,17780,17780,,,,,,
Lamar State College at Port Arthur,Texas,TX,Public,2 Year,8370,5459,13829,17820,26190,,,,,,
Lamar University,Texas,TX,Public,4 Year,8920,10192,19112,22642,31562,13,Texas,53300,101200,57,16
Lancaster Bible College,Pennsylvania,PA,Private,4 Year,8750,25270,34020,25270,34020,,,,,,
Lander University,South Carolina,SC,Public,4 Year,9100,11700,20800,21300,30400,15,South-Carolina,42600,77100,54,9
Landing School of Boatbuilding and Design,Maine,ME,Private,2 Year,8757,20740,29497,20740,29497,,,,,,
Landmark College,Vermont,VT,Private,2 Year,11840,56800,68640,56800,68640,,,,,,
Lane College,Tennessee,TN,Private,4 Year,7270,10690,17960,10690,17960,,,,,,
Lane Community College,Oregon,OR,Public,2 Year,,5641,5641,12683,12683,,,,,,
Laney College,California,CA,Public,2 Year,,1461,1461,9201,9201,,,,,,
Langston University,Oklahoma,OK,Public,4 Year,9476,5950,15426,13300,22776,11,Oklahoma,46500,81500,66,8
Lansing Community College,Michigan,MI,Public,2 Year,,3530,3530,9830,9830,,,,,,
Laramie County Community College,Wyoming,WY,Public,2 Year,7200,3426,10626,7938,15138,,,,,,
Laredo Community College,Texas,TX,Public,2 Year,,4080,4080,7140,7140,,,,,,
Las Positas College,California,CA,Public,2 Year,,1436,1436,9686,9686,,,,,,
Lasell College,Massachusetts,MA,Private,4 Year,15400,36000,51400,36000,51400,,,,,,
Lassen Community College,California,CA,Public,2 Year,30,1407,1437,9147,9177,,,,,,
Lawrence Technological University,Michigan,MI,Private,4 Year,9950,33570,43520,33570,43520,4,Michigan,57900,108400,49,60
Lawrence University,Wisconsin,WI,Private,4 Year,10341,47475,57816,47475,57816,5,Wisconsin,51500,98800,58,25
Lawson State Community College,Alabama,AL,Public,2 Year,4760,4760,9520,8660,13420,,,,,,
LDS Business College,Utah,UT,Private,2 Year,5600,3440,9040,3440,9040,,,,,,
Le Moyne College,New York,NY,Private,4 Year,13780,34625,48405,34625,48405,,,,,,
Lebanon Valley College,Pennsylvania,PA,Private,4 Year,11860,43650,55510,43650,55510,,,,,,
Lee College,Texas,TX,Public,2 Year,,2643,2643,5313,5313,,,,,,
Lee University,Tennessee,TN,Private,4 Year,7410,17690,25100,17690,25100,,,,,,
Leech Lake Tribal College,Minnesota,MN,Public,2 Year,,4920,4920,4920,4920,,,,,,
Lees-McRae College,North Carolina,NC,Private,4 Year,11078,26198,37276,26198,37276,,,,,,
Lehigh Carbon Community College,Pennsylvania,PA,Public,2 Year,,4080,4080,10620,10620,,,,,,
Lehigh University,Pennsylvania,PA,Private,4 Year,13600,52930,66530,52930,66530,2,Pennsylvania,69500,134100,45,52
LeMoyne-Owen College,Tennessee,TN,Private,4 Year,6100,11196,17296,11196,17296,,,,,,
Lenoir Community College,North Carolina,NC,Public,2 Year,,2405,2405,8165,8165,,,,,,
Lenoir-Rhyne University,North Carolina,NC,Private,4 Year,12510,36400,48910,36400,48910,10,North-Carolina,46400,86300,54,7
Lesley University,Massachusetts,MA,Private,4 Year,16230,28770,45000,28770,45000,,,,,,
LeTourneau University,Texas,TX,Private,4 Year,9970,30210,40180,30210,40180,18,Texas,56600,98900,53,21
Lewis & Clark College,Oregon,OR,Private,4 Year,12490,50934,63424,50934,63424,10,Oregon,50000,93200,51,12
Lewis and Clark Community College,Illinois,IL,Public,2 Year,,4440,4440,15690,15690,,,,,,
Lewis University,Illinois,IL,Private,4 Year,10578,32450,43028,32450,43028,25,Illinois,49700,89800,53,14
Lewis-Clark State College,Idaho,ID,Public,4 Year,7580,6618,14198,19236,26816,7,Idaho,44900,77600,60,5
Liberty University,Virginia,VA,Private,4 Year,10478,25276,35754,25276,35754,,,,,,
Life Pacific College,California,CA,Private,4 Year,8390,15804,24194,15804,24194,,,,,,
Life University,Georgia,GA,Private,4 Year,14400,13194,27594,13194,27594,,,,,,
LIM College,New York,NY,For Profit,4 Year,20350,27030,47380,27030,47380,,,,,,
Limestone College,South Carolina,SC,Private,4 Year,9765,26000,35765,26000,35765,16,South-Carolina,42100,76500,57,10
Lincoln Christian University,Illinois,IL,Private,4 Year,7564,13200,20764,13200,20764,,,,,,
Lincoln College,Illinois,IL,Private,2 Year,7700,18600,26300,18600,26300,,,,,,
Lincoln Land Community College,Illinois,IL,Public,2 Year,,4215,4215,11985,11985,,,,,,
Lincoln Memorial University,Tennessee,TN,Private,4 Year,8000,22010,30010,22010,30010,,,,,,
Lincoln University,California,CA,Private,4 Year,,11040,11040,11040,11040,,,,,,
Lincoln University,Pennsylvania,PA,Public,4 Year,9588,11666,21254,16802,26390,,,,,,
Lincoln University,Missouri,MO,Public,4 Year,7068,7632,14700,14172,21240,,,,,,
Lindenwood University,Missouri,MO,Private,4 Year,9000,17600,26600,17600,26600,21,Missouri,45100,78500,48,9
Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385,24850,34235,24850,34235,25,Kentucky,35300,64100,52,2
Linfield College,Oregon,OR,Private,4 Year,12420,43232,55652,43232,55652,,,,,,
Linn-Benton Community College,Oregon,OR,Public,2 Year,,5290,5290,11792,11792,,,,,,
Lipscomb University,Tennessee,TN,Private,4 Year,12652,32144,44796,32144,44796,9,Tennessee,49000,84800,59,12
Little Big Horn College,Montana,MT,Private,2 Year,,3200,3200,3200,3200,,,,,,
Little Priest Tribal College,Nebraska,NE,Private,2 Year,6990,5130,12120,5130,12120,,,,,,
LIU Brooklyn,New York,NY,Private,4 Year,14020,37715,51735,37715,51735,,,,,,
LIU Post,New York,NY,Private,4 Year,14020,37715,51735,37715,51735,,,,,,
Livingstone College,North Carolina,NC,Private,4 Year,6794,18297,25091,18297,25091,,,,,,
Lock Haven University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10368,10878,21246,20452,30820,,,,,,
Logan University,Missouri,MO,Private,4 Year,,8350,8350,8350,8350,,,,,,
Loma Linda University,California,CA,Private,4 Year,11655,35192,46847,35192,46847,,,,,,
Lone Star College System,Texas,TX,Public,2 Year,,1984,1984,5884,5884,,,,,,
Long Beach City College,California,CA,Public,2 Year,,1418,1418,10628,10628,,,,,,
Long Island Business Institute,New York,NY,For Profit,2 Year,,9846,9846,9846,9846,,,,,,
Longwood University,Virginia,VA,Public,4 Year,11746,13340,25086,29300,41046,21,Virginia,47300,83300,54,9
Lorain County Community College,Ohio,OH,Public,2 Year,,3485,3485,8081,8081,,,,,,
Loras College,Iowa,IA,Private,4 Year,8275,34184,42459,34184,42459,7,Iowa,48000,90100,56,14
Lord Fairfax Community College,Virginia,VA,Public,2 Year,,4739,4739,10667,10667,,,,,,
Los Angeles City College,California,CA,Public,2 Year,,1402,1402,8932,8932,,,,,,
Los Angeles County College of Nursing and Allied Health,California,CA,Public,2 Year,,4925,4925,4925,4925,,,,,,
Los Angeles Harbor College,California,CA,Public,2 Year,,1404,1404,8934,8934,,,,,,
Los Angeles Mission College,California,CA,Public,2 Year,,1404,1404,8934,8934,,,,,,
Los Angeles Pierce College,California,CA,Public,2 Year,,1404,1404,8934,8934,,,,,,
Los Angeles Southwest College,California,CA,Public,2 Year,,1418,1418,8948,8948,,,,,,
Los Angeles Trade and Technical College,California,CA,Public,2 Year,,1418,1418,8948,8948,,,,,,
Los Angeles Valley College,California,CA,Public,2 Year,,1404,1404,8934,8934,,,,,,
Los Medanos College,California,CA,Public,2 Year,,1390,1390,9160,9160,,,,,,
Louisburg College,North Carolina,NC,Private,2 Year,10709,18581,29290,18581,29290,,,,,,
Louisiana College,Louisiana,LA,Private,4 Year,5618,17000,22618,17000,22618,17,Louisiana,44800,79800,58,4
Louisiana State University and Agricultural and Mechanical College,Louisiana,LA,Public,4 Year,11830,11950,23780,28627,40457,,,,,,
Louisiana State University at Alexandria,Louisiana,LA,Public,4 Year,,6964,6964,14230,14230,,,,,,
Louisiana State University at Eunice,Louisiana,LA,Public,2 Year,5214,6500,11714,11864,17078,,,,,,
Louisiana State University Health Sciences Center New Orleans,Louisiana,LA,Public,4 Year,5650,6923,12573,13705,19355,,,,,,
Louisiana State University in Shreveport,Louisiana,LA,Public,4 Year,,7235,7235,20389,20389,,,,,,
Louisiana Tech University,Louisiana,LA,Public,4 Year,6495,9645,16140,18558,25053,3,Louisiana,53100,100700,57,24
Lourdes University,Ohio,OH,Private,4 Year,10100,22480,32580,22480,32580,,,,,,
Lower Columbia College,Washington,WA,Public,2 Year,,4624,4624,5102,5102,,,,,,
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012,18,California,58500,113300,39,9
Loyola University Chicago,Illinois,IL,Private,4 Year,14480,44048,58528,44048,58528,12,Illinois,53400,96000,45,15
Loyola University Maryland,Maryland,MD,Private,4 Year,14430,49085,63515,49085,63515,5,Maryland,59900,111200,40,8
Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380,39692,53072,39692,53072,9,Louisiana,47900,88600,47,4
Lubbock Christian University,Texas,TX,Private,4 Year,7702,22440,30142,22440,30142,,,,,,
Luna Community College,New Mexico,NM,Public,2 Year,,962,962,2426,2426,,,,,,
Lurleen B. Wallace Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610,,,,,,
Luther College,Iowa,IA,Private,4 Year,9460,42290,51750,42290,51750,14,Iowa,48200,85900,49,21
Luther Rice College and Seminary,Georgia,GA,Private,4 Year,,9520,9520,9520,9520,,,,,,
Luzerne County Community College,Pennsylvania,PA,Public,2 Year,,5430,5430,13230,13230,,,,,,
Lycoming College,Pennsylvania,PA,Private,4 Year,12568,40315,52883,40315,52883,,,,,,
Lyndon State College,Vermont,VT,Public,4 Year,10598,12074,22672,25394,35992,13,Vermont,41500,75100,49,8
Lynn University,Florida,FL,Private,4 Year,12170,38210,50380,38210,50380,22,Florida,46100,85000,45,2
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920,15,Arkansas,41200,74300,53,33
Macalester College,Minnesota,MN,Private,4 Year,12156,54344,66500,54344,66500,6,Minnesota,53600,100400,51,31
MacCormac College,Illinois,IL,Private,2 Year,,13520,13520,13520,13520,,,,,,
Machzikei Hadath Rabbinical College,New York,NY,Private,4 Year,,11500,11500,11500,11500,,,,,,
MacMurray College,Illinois,IL,Private,4 Year,9440,27690,37130,27690,37130,,,,,,
Macomb Community College,Michigan,MI,Public,2 Year,,3270,3270,7380,7380,,,,,,
Madison Area Technical College,Wisconsin,WI,Public,2 Year,,4401,4401,6414,6414,,,,,,
Madisonville Community College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Madonna University,Michigan,MI,Private,4 Year,9950,21900,31850,21900,31850,,,,,,
