id,group_random,group_random_dummy,Y0,Y1
7601,treatment,1,9,10.2
7602,control,0,3,6
7603,control,0,7,8.2
7604,control,0,10,11
7605,treatment,1,5,8
7606,control,0,3,4.2
7607,treatment,1,9,11.2
7608,treatment,1,1,2
7609,treatment,1,3,4
7610,treatment,1,4,6
7611,treatment,1,2,4.2
7612,control,0,6,9
7613,treatment,1,3,5.2
7614,control,0,4,5
7615,control,0,4,6.2
7616,control,0,9,12
7617,treatment,1,7,8
7618,treatment,1,10,12.2
7619,control,0,8,9
7620,control,0,6,8.2
7621,treatment,1,6,8
7622,control,0,3,6.2
7623,control,0,10,12.2
7624,treatment,1,4,6
7625,treatment,1,7,10
7626,control,0,3,4.2
7627,treatment,1,7,10
7628,control,0,5,7.2
7629,treatment,1,6,8
7630,control,0,6,9
7631,control,0,5,7
7632,treatment,1,6,7
7633,control,0,2,4
7634,control,0,9,10.2
7635,control,0,10,13
7636,control,0,4,5
7637,control,0,4,6.2
7638,control,0,7,10.2
7639,treatment,1,6,8.2
7640,control,0,2,3.2
7641,treatment,1,3,6
7642,treatment,1,7,9
7643,control,0,6,8.2
7644,treatment,1,3,4.2
7645,control,0,9,11
7646,treatment,1,11,12.2
7647,control,0,4,5
7648,treatment,1,7,9
7649,control,0,10,12.2
7650,control,0,8,10
7651,treatment,1,5,6
7652,treatment,1,4,7.2
7653,control,0,9,12
7654,control,0,11,14.2
7655,treatment,1,4,5.2
7656,control,0,7,9
7657,treatment,1,6,7
7658,control,0,4,7.2
7659,treatment,1,8,10
7660,control,0,7,10
7661,control,0,3,4.2
7662,treatment,1,6,7.2
7663,treatment,1,9,10.2
7664,control,0,3,6
7665,treatment,1,4,7.2
7666,treatment,1,3,5
7667,treatment,1,2,5
7668,treatment,1,2,5.2
7669,control,0,5,6
7670,control,0,8,11
7671,treatment,1,11,12.2
7672,treatment,1,2,3
7673,control,0,7,10
7674,control,0,2,4
7675,treatment,1,3,6
7676,treatment,1,8,9.2
7677,control,0,7,8
7678,treatment,1,9,10
7679,control,0,6,9.2
7680,treatment,1,9,12
7681,control,0,4,7.2
7682,control,0,2,5.2
7683,treatment,1,8,10
7684,treatment,1,8,9.2
7685,treatment,1,4,5.2
7686,treatment,1,11,13.2
7687,control,0,5,8.2
7688,treatment,1,10,13.2
7689,control,0,2,4
7690,control,0,2,5.2
7691,control,0,4,7
7692,control,0,5,6
7693,treatment,1,4,7.2
7694,treatment,1,3,5.2
7695,treatment,1,11,13.2
7696,treatment,1,10,13.2
7697,control,0,6,9
7698,treatment,1,7,9
7699,treatment,1,4,6.2
7700,control,0,4,6
7701,control,0,2,4
7702,control,0,10,13.2
7703,treatment,1,8,11.2
7704,treatment,1,4,7
7705,treatment,1,8,11.2
7706,control,0,10,12.2
7707,control,0,5,7
7708,treatment,1,5,7.2
7709,control,0,10,11.2
7710,control,0,6,7
7711,control,0,2,4
7712,treatment,1,2,5.2
7713,control,0,9,12.2
7714,control,0,3,5
7715,treatment,1,11,12.2
7716,control,0,8,11
7717,control,0,6,9.2
7718,treatment,1,7,8
7719,treatment,1,4,7.2
7720,control,0,8,11.2
7721,treatment,1,3,6
7722,control,0,8,9
7723,treatment,1,2,5.2
7724,treatment,1,7,10
7725,treatment,1,8,11
7726,control,0,9,11
7727,control,0,3,4
7728,control,0,9,11.2
7729,treatment,1,6,7.2
7730,control,0,5,6
7731,control,0,4,5
7732,control,0,5,8.2
7733,treatment,1,6,8
7734,treatment,1,4,7
7735,treatment,1,2,3
7736,control,0,10,12.2
7737,control,0,2,3.2
7738,treatment,1,11,13.2
7739,treatment,1,6,8.2
7740,control,0,7,9.2
7741,treatment,1,3,6
7742,treatment,1,7,9.2
7743,control,0,8,10.2
7744,treatment,1,8,10.2
7745,control,0,4,7
7746,treatment,1,11,12.2
7747,control,0,2,5
7748,control,0,8,10.2
7749,control,0,7,8.2
7750,treatment,1,7,8.2
7751,control,0,9,10
7752,control,0,7,10
7753,treatment,1,5,6.2
7754,control,0,7,8
7755,control,0,9,12
7756,control,0,8,9.2
7757,control,0,8,10.2
7758,treatment,1,1,4
7759,control,0,3,5.2
7760,treatment,1,2,3.2
7761,control,0,6,9.2
7762,control,0,8,10.2
7763,treatment,1,1,2
7764,treatment,1,10,11
7765,treatment,1,3,6.2
7766,control,0,9,10
7767,control,0,8,10
7768,control,0,7,8
7769,treatment,1,7,8.2
7770,control,0,2,4.2
7771,control,0,2,4.2
7772,treatment,1,10,13
7773,control,0,11,14.2
7774,control,0,3,4.2
7775,control,0,11,13.2
7776,treatment,1,5,7.2
7777,treatment,1,4,7.2
7778,treatment,1,5,8
7779,treatment,1,3,5.2
7780,control,0,10,11.2
7781,control,0,4,5.2
7782,treatment,1,3,4.2
7783,treatment,1,9,10.2
7784,treatment,1,1,2
7785,treatment,1,3,6.2
7786,control,0,3,5
7787,treatment,1,6,7.2
7788,treatment,1,2,4
7789,treatment,1,2,4
7790,treatment,1,5,7
7791,control,0,7,9.2
7792,treatment,1,9,11
7793,control,0,9,11
7794,control,0,1,2
7795,treatment,1,7,10.2
7796,control,0,1,2
7797,treatment,1,9,10
7798,treatment,1,3,4.2
7799,treatment,1,3,6.2
7800,control,0,2,3.2
7801,treatment,1,9,10
7802,treatment,1,2,4
7803,control,0,3,5.2
7804,treatment,1,2,3
7805,control,0,2,5
7806,treatment,1,4,7
7807,control,0,2,5.2
7808,control,0,9,10.2
7809,treatment,1,1,2
7810,treatment,1,2,4
7811,treatment,1,6,8.2
7812,control,0,4,7.2
7813,treatment,1,11,14.2
7814,treatment,1,10,12
7815,treatment,1,4,6
7816,control,0,1,2
7817,control,0,7,8
7818,treatment,1,3,5.2
7819,treatment,1,2,5
7820,treatment,1,4,5.2
7821,control,0,6,7
7822,treatment,1,4,6
7823,control,0,9,11
7824,treatment,1,6,9.2
7825,treatment,1,3,4
7826,treatment,1,5,8.2
7827,treatment,1,11,13.2
7828,control,0,3,6
7829,control,0,8,10
7830,control,0,10,13.2
7831,control,0,5,8
7832,control,0,5,8
7833,control,0,2,4
7834,control,0,4,6.2
7835,control,0,4,6
7836,treatment,1,10,11
7837,treatment,1,2,3
7838,control,0,2,5.2
7839,treatment,1,2,3.2
7840,treatment,1,6,7
7841,control,0,1,3
7842,treatment,1,8,11
7843,treatment,1,10,11
7844,treatment,1,1,3
7845,treatment,1,5,8
7846,control,0,9,12
7847,control,0,3,4
7848,control,0,3,4
7849,treatment,1,2,3.2
7850,control,0,4,7.2
7851,treatment,1,2,5
7852,control,0,5,6.2
7853,control,0,4,5
7854,treatment,1,9,10.2
7855,control,0,2,3
7856,control,0,11,14.2
7857,control,0,3,5
7858,treatment,1,10,13.2
7859,control,0,6,8.2
7860,control,0,11,12.2
7861,treatment,1,8,11.2
7862,control,0,6,8.2
7863,treatment,1,7,9.2
7864,treatment,1,2,3
7865,treatment,1,4,6.2
7866,treatment,1,8,11.2
7867,treatment,1,2,4
7868,control,0,10,11
7869,control,0,9,11.2
7870,treatment,1,6,8.2
7871,treatment,1,6,7
7872,treatment,1,7,8
7873,treatment,1,6,9.2
7874,treatment,1,10,12.2
7875,treatment,1,4,7
7876,control,0,11,13.2
7877,control,0,10,13.2
7878,control,0,2,3.2
7879,control,0,8,9
7880,treatment,1,1,3
7881,treatment,1,7,10.2
7882,treatment,1,4,5
7883,treatment,1,8,11.2
7884,treatment,1,3,4
7885,control,0,1,4
7886,treatment,1,8,10.2
7887,control,0,6,9.2
7888,treatment,1,7,10.2
7889,treatment,1,6,9
7890,control,0,1,4
7891,control,0,4,6.2
7892,treatment,1,6,7.2
7893,treatment,1,8,10
7894,treatment,1,2,5
7895,control,0,5,7
7896,control,0,8,10.2
7897,control,0,1,4
7898,treatment,1,7,10.2
7899,treatment,1,5,6.2
7900,treatment,1,4,6
7901,control,0,8,10.2
7902,treatment,1,3,4.2
7903,control,0,6,8
7904,control,0,5,8
7905,control,0,7,8
7906,treatment,1,9,12.2
7907,control,0,6,9
7908,treatment,1,6,7
7909,control,0,10,11
7910,treatment,1,5,6.2
7911,treatment,1,6,8
7912,treatment,1,11,12.2
7913,control,0,9,11
7914,treatment,1,3,4.2
7915,control,0,4,7
7916,treatment,1,8,11
7917,control,0,3,4.2
7918,treatment,1,4,5
7919,control,0,10,11
7920,control,0,2,4
7921,treatment,1,9,10
7922,treatment,1,9,11
7923,treatment,1,5,7.2
7924,treatment,1,6,9
7925,treatment,1,1,2
7926,treatment,1,6,7
7927,control,0,9,10.2
7928,treatment,1,8,10.2
7929,control,0,3,6
7930,treatment,1,9,10.2
7931,control,0,3,6
7932,control,0,9,12
7933,control,0,7,10.2
7934,treatment,1,4,7.2
7935,control,0,10,12.2
7936,control,0,4,7
7937,treatment,1,10,13.2
7938,control,0,5,7.2
7939,treatment,1,2,5.2
7940,treatment,1,7,10.2
7941,treatment,1,6,9.2
7942,treatment,1,6,8
7943,control,0,2,4
7944,treatment,1,8,11.2
7945,control,0,1,3
7946,treatment,1,2,5
7947,treatment,1,6,9.2
7948,control,0,10,13
7949,control,0,3,5
7950,control,0,4,5.2
7951,control,0,3,5
7952,treatment,1,4,6
7953,treatment,1,6,8.2
7954,treatment,1,10,13
7955,treatment,1,9,10
7956,control,0,3,4
7957,treatment,1,9,10
7958,treatment,1,9,10.2
7959,treatment,1,4,7
7960,treatment,1,4,6
7961,treatment,1,1,3
7962,control,0,4,5
7963,treatment,1,10,11.2
7964,control,0,5,6.2
7965,treatment,1,6,9
7966,control,0,7,9
7967,treatment,1,3,6
7968,control,0,2,4
7969,treatment,1,7,9.2
7970,control,0,10,13.2
7971,treatment,1,1,2
7972,treatment,1,3,4
7973,control,0,5,7
7974,control,0,4,6
7975,treatment,1,7,8
7976,control,0,8,10
7977,treatment,1,6,8
7978,control,0,6,8
7979,control,0,8,10
7980,control,0,9,11
7981,control,0,8,9
7982,treatment,1,2,4
7983,treatment,1,4,7
7984,treatment,1,6,9
7985,control,0,7,8.2
7986,control,0,5,6
7987,control,0,6,9.2
7988,treatment,1,7,9
7989,control,0,4,6
7990,control,0,6,8
7991,control,0,8,9.2
7992,treatment,1,8,10.2
7993,control,0,11,13.2
7994,treatment,1,10,12
7995,control,0,9,12
7996,control,0,8,9.2
7997,treatment,1,9,11.2
7998,control,0,9,10.2
7999,control,0,9,11
8000,treatment,1,4,7.2
8001,treatment,1,4,5
8002,control,0,3,4.2
8003,treatment,1,6,7
8004,treatment,1,6,8.2
8005,control,0,7,8
8006,control,0,7,9.2
8007,control,0,8,11.2
8008,control,0,9,10.2
8009,control,0,5,7.2
8010,treatment,1,9,11.2
8011,treatment,1,7,9.2
8012,control,0,10,11
8013,treatment,1,8,11
8014,control,0,6,8
8015,treatment,1,4,7
8016,treatment,1,9,11.2
8017,control,0,1,4
8018,treatment,1,5,8.2
8019,treatment,1,9,12
8020,control,0,7,8
8021,treatment,1,2,5
8022,treatment,1,11,12.2
8023,treatment,1,4,6
8024,control,0,8,10.2
8025,control,0,7,8.2
8026,treatment,1,10,12
8027,treatment,1,7,9.2
8028,control,0,6,9
8029,control,0,6,8.2
8030,control,0,9,10
8031,treatment,1,8,10
8032,control,0,11,12.2
8033,control,0,6,8.2
8034,treatment,1,9,10.2
8035,control,0,5,8.2
8036,treatment,1,7,8
8037,treatment,1,5,7
8038,control,0,3,6
8039,treatment,1,10,11
8040,treatment,1,8,10
8041,control,0,8,11.2
8042,treatment,1,5,8
8043,treatment,1,3,6
8044,control,0,3,6.2
8045,treatment,1,9,11
8046,treatment,1,6,9
8047,control,0,8,11.2
8048,control,0,4,6.2
8049,control,0,8,11.2
8050,control,0,9,11.2
8051,treatment,1,5,7
8052,control,0,5,6
8053,treatment,1,4,5
8054,control,0,4,5.2
8055,treatment,1,2,3.2
8056,treatment,1,9,11
8057,treatment,1,6,8.2
8058,control,0,5,8.2
8059,treatment,1,2,4
8060,treatment,1,6,9.2
8061,control,0,1,4
8062,control,0,4,6
8063,treatment,1,6,9.2
8064,treatment,1,4,6
8065,control,0,4,6
8066,control,0,10,11.2
8067,control,0,2,5.2
8068,control,0,5,8.2
8069,control,0,8,11
8070,control,0,3,5
8071,treatment,1,3,4
8072,treatment,1,3,4.2
8073,control,0,9,10.2
8074,control,0,7,10
8075,control,0,4,5.2
8076,control,0,10,11.2
8077,treatment,1,10,12.2
8078,control,0,11,12.2
8079,control,0,8,11
8080,control,0,6,8
8081,control,0,4,5
8082,control,0,5,6
8083,control,0,4,7.2
8084,control,0,11,14.2
8085,control,0,8,11
8086,control,0,2,4
8087,treatment,1,8,10
8088,treatment,1,3,4.2
8089,treatment,1,8,9.2
8090,control,0,2,5.2
8091,treatment,1,6,7
8092,control,0,9,10.2
8093,treatment,1,11,12.2
8094,treatment,1,5,8
8095,control,0,5,8
8096,control,0,6,8.2
8097,control,0,7,8.2
8098,control,0,6,8.2
8099,control,0,11,12.2
8100,control,0,8,9
8101,treatment,1,5,8.2
8102,control,0,8,9.2
8103,control,0,6,8.2
8104,control,0,10,11
8105,control,0,6,7.2
8106,control,0,1,2
8107,control,0,1,4
8108,control,0,9,10
8109,control,0,3,4.2
8110,treatment,1,4,7.2
8111,treatment,1,8,11
8112,control,0,4,7.2
8113,control,0,4,5
8114,treatment,1,7,9
8115,control,0,10,13
8116,treatment,1,6,9
8117,treatment,1,10,12
8118,control,0,3,5.2
8119,control,0,9,11.2
8120,control,0,10,12
8121,control,0,8,9.2
8122,treatment,1,9,12.2
8123,treatment,1,10,13.2
8124,control,0,8,10.2
8125,treatment,1,10,11
8126,treatment,1,5,7
8127,control,0,1,3
8128,treatment,1,6,9
8129,treatment,1,6,9.2
8130,treatment,1,4,7.2
8131,control,0,9,12
8132,treatment,1,5,8.2
8133,control,0,1,4
8134,control,0,5,7
8135,control,0,7,10.2
8136,treatment,1,6,8
8137,treatment,1,8,9
8138,control,0,8,10
8139,control,0,1,2
8140,treatment,1,5,6
8141,control,0,2,5
8142,treatment,1,10,12
8143,control,0,10,13
8144,treatment,1,4,5
8145,treatment,1,1,2
8146,control,0,2,5
8147,control,0,8,9
8148,treatment,1,10,13.2
8149,treatment,1,7,10
8150,control,0,2,3
8151,control,0,8,11
8152,control,0,4,7
8153,treatment,1,2,5
8154,treatment,1,3,4
8155,control,0,6,9
8156,treatment,1,9,12
8157,control,0,6,8
8158,treatment,1,7,9
8159,treatment,1,2,4
8160,control,0,6,8
8161,control,0,3,6.2
8162,control,0,6,8.2
8163,treatment,1,7,9.2
8164,treatment,1,2,4
8165,treatment,1,2,4.2
8166,control,0,2,5
8167,treatment,1,6,8.2
8168,treatment,1,9,11
8169,treatment,1,7,10.2
8170,control,0,1,2
8171,control,0,7,9
8172,control,0,4,5
8173,control,0,10,13
8174,treatment,1,5,7.2
8175,control,0,8,11.2
8176,treatment,1,10,11.2
8177,treatment,1,4,5.2
8178,control,0,4,5
8179,control,0,5,6
8180,treatment,1,10,11.2
8181,control,0,4,5
8182,control,0,4,7.2
8183,control,0,8,9.2
8184,control,0,4,7
8185,treatment,1,3,6
8186,control,0,7,8
8187,control,0,7,10.2
8188,treatment,1,7,9.2
8189,control,0,10,12.2
8190,treatment,1,9,11
8191,control,0,7,8
8192,treatment,1,7,8.2
8193,treatment,1,6,8.2
8194,control,0,6,8
8195,control,0,6,7.2
8196,control,0,5,8
8197,treatment,1,3,6
8198,treatment,1,4,7.2
8199,treatment,1,4,5.2
8200,treatment,1,4,5.2
8201,treatment,1,3,6.2
8202,treatment,1,3,4
8203,treatment,1,10,12
8204,control,0,7,8
8205,control,0,4,5.2
8206,control,0,7,9.2
8207,treatment,1,2,3.2
8208,control,0,11,14.2
8209,control,0,9,11.2
8210,treatment,1,2,4
8211,treatment,1,6,9.2
8212,treatment,1,11,14.2
8213,treatment,1,9,11
8214,control,0,8,11
8215,control,0,2,3.2
8216,control,0,3,5.2
8217,treatment,1,11,13.2
8218,treatment,1,7,9.2
8219,treatment,1,5,8
8220,treatment,1,10,12
8221,control,0,4,5
8222,treatment,1,2,4.2
8223,control,0,4,5.2
8224,treatment,1,7,10.2
8225,control,0,6,8.2
8226,control,0,9,12.2
8227,control,0,11,14.2
8228,treatment,1,7,9
8229,control,0,5,6.2
8230,treatment,1,8,11.2
8231,treatment,1,6,9
8232,treatment,1,10,13.2
8233,control,0,3,4.2
8234,control,0,4,6.2
8235,control,0,10,13.2
8236,control,0,9,10
8237,treatment,1,9,11
8238,treatment,1,4,5.2
8239,treatment,1,6,9
8240,control,0,7,8.2
8241,control,0,4,7
8242,control,0,2,4.2
8243,treatment,1,4,6
8244,control,0,5,7.2
8245,control,0,8,9.2
8246,control,0,8,9.2
8247,control,0,5,8.2
8248,control,0,9,11
8249,treatment,1,4,5.2
8250,control,0,1,2
8251,treatment,1,2,4.2
8252,treatment,1,2,3.2
8253,treatment,1,7,9.2
8254,treatment,1,2,5
8255,treatment,1,3,4.2
8256,treatment,1,4,7.2
8257,control,0,2,3.2
8258,treatment,1,6,7
8259,control,0,2,5.2
8260,treatment,1,6,8
8261,treatment,1,3,5.2
8262,treatment,1,1,3
8263,treatment,1,5,7.2
8264,control,0,5,7
8265,control,0,2,3
8266,control,0,3,4
8267,treatment,1,11,14.2
8268,treatment,1,10,11
8269,treatment,1,3,6
8270,control,0,3,5.2
8271,control,0,3,6.2
8272,treatment,1,8,10.2
8273,treatment,1,3,6
8274,control,0,10,12
8275,treatment,1,7,9.2
8276,control,0,1,4
8277,control,0,10,11.2
8278,control,0,2,4.2
8279,treatment,1,9,11
8280,control,0,2,3.2
8281,control,0,5,7
8282,control,0,4,7
8283,treatment,1,2,4
8284,control,0,10,11.2
8285,treatment,1,6,8
8286,treatment,1,11,12.2
8287,treatment,1,3,6
8288,treatment,1,6,7
8289,treatment,1,9,10
8290,treatment,1,9,12.2
8291,treatment,1,10,11
8292,control,0,2,4
8293,control,0,10,11
8294,control,0,1,3
8295,treatment,1,4,5.2
8296,treatment,1,5,7.2
8297,treatment,1,10,12.2
8298,control,0,4,5.2
8299,control,0,6,7.2
8300,control,0,7,10
8301,treatment,1,3,4.2
8302,control,0,5,6.2
8303,control,0,2,4.2
8304,control,0,2,3
8305,control,0,4,7
8306,control,0,1,4
8307,control,0,7,8
8308,control,0,9,12
8309,treatment,1,10,12.2
8310,treatment,1,3,4
8311,treatment,1,8,10
8312,treatment,1,3,4
8313,treatment,1,9,11
8314,control,0,9,12
8315,control,0,2,3
8316,treatment,1,9,11.2
8317,treatment,1,6,8
8318,control,0,1,2
8319,treatment,1,7,10
8320,control,0,8,11.2
8321,treatment,1,5,7.2
8322,control,0,4,7
8323,control,0,7,9
8324,treatment,1,3,5.2
8325,treatment,1,2,5.2
8326,treatment,1,3,5.2
8327,control,0,8,10.2
8328,treatment,1,7,8.2
8329,treatment,1,4,7
8330,treatment,1,5,7.2
8331,treatment,1,8,11.2
8332,treatment,1,6,7
8333,control,0,1,3
8334,control,0,10,13.2
8335,control,0,5,6
8336,treatment,1,11,13.2
8337,control,0,4,6
8338,treatment,1,8,9.2
8339,treatment,1,11,12.2
8340,treatment,1,8,10.2
8341,control,0,11,14.2
8342,control,0,8,10
8343,control,0,4,5.2
8344,treatment,1,3,5.2
8345,treatment,1,6,7.2
8346,treatment,1,2,3.2
8347,treatment,1,3,4.2
8348,treatment,1,11,13.2
8349,control,0,6,7
8350,treatment,1,9,10.2
8351,treatment,1,10,13
8352,control,0,4,5
8353,control,0,2,5
8354,control,0,9,12.2
8355,control,0,4,5
8356,treatment,1,6,8.2
8357,treatment,1,2,5.2
8358,control,0,5,8
8359,treatment,1,10,13.2
8360,treatment,1,6,8.2
8361,treatment,1,5,6.2
8362,control,0,6,9
8363,treatment,1,9,12.2
8364,control,0,6,7.2
8365,control,0,6,8
8366,control,0,7,10
8367,control,0,10,11
8368,control,0,5,8
8369,control,0,5,7
8370,control,0,3,5
8371,control,0,5,8
8372,control,0,8,10
8373,control,0,10,11.2
8374,treatment,1,7,8.2
8375,control,0,3,5.2
8376,control,0,8,9.2
8377,control,0,4,7
8378,treatment,1,7,8
8379,treatment,1,9,10
8380,treatment,1,6,7.2
8381,treatment,1,6,9.2
8382,control,0,10,13.2
8383,control,0,7,10
8384,control,0,5,8
8385,treatment,1,7,9.2
8386,treatment,1,2,3.2
8387,treatment,1,11,14.2
8388,control,0,4,6.2
8389,treatment,1,7,9.2
8390,control,0,9,10
8391,control,0,7,8
8392,control,0,4,5.2
8393,treatment,1,1,2
8394,control,0,10,12.2
8395,control,0,1,4
8396,control,0,4,7
8397,control,0,8,9
8398,control,0,7,9
8399,treatment,1,2,5.2
8400,treatment,1,5,8.2
8401,treatment,1,7,8.2
8402,treatment,1,10,13.2
8403,treatment,1,8,11
8404,treatment,1,6,8
8405,treatment,1,8,10
8406,control,0,11,14.2
8407,control,0,6,8
8408,control,0,10,11.2
8409,control,0,9,10
8410,control,0,8,11
8411,control,0,8,10
8412,treatment,1,2,3.2
8413,treatment,1,11,13.2
8414,control,0,6,8
8415,control,0,8,9
8416,control,0,2,3
8417,treatment,1,9,11.2
8418,treatment,1,5,7
8419,control,0,5,6.2
8420,treatment,1,10,11
8421,control,0,6,8
8422,treatment,1,4,7
8423,control,0,6,8.2
8424,treatment,1,10,11
8425,control,0,2,3
8426,treatment,1,8,10
8427,treatment,1,5,8.2
8428,control,0,4,6.2
8429,control,0,9,12.2
8430,control,0,8,11.2
8431,treatment,1,6,8
8432,treatment,1,2,3.2
8433,treatment,1,6,9.2
8434,treatment,1,9,10
8435,treatment,1,5,7
8436,control,0,10,12.2
8437,control,0,9,12
8438,control,0,2,3
8439,control,0,4,6
8440,treatment,1,7,10.2
8441,control,0,5,7
8442,control,0,6,8.2
8443,treatment,1,9,12
8444,control,0,10,11
8445,control,0,4,5
8446,treatment,1,8,9.2
8447,control,0,5,7
8448,control,0,5,6.2
8449,treatment,1,8,9.2
8450,control,0,4,7
8451,treatment,1,8,11
8452,treatment,1,5,6.2
8453,control,0,7,10.2
8454,control,0,8,9.2
8455,treatment,1,10,13.2
8456,treatment,1,5,8.2
8457,treatment,1,8,10
8458,treatment,1,1,2
8459,control,0,10,12
8460,treatment,1,10,13
8461,control,0,3,4.2
8462,treatment,1,10,12.2
8463,control,0,3,4.2
8464,treatment,1,10,12.2
8465,treatment,1,4,5
8466,control,0,11,12.2
8467,control,0,6,8.2
8468,control,0,2,3
8469,control,0,7,8
8470,control,0,3,6.2
8471,treatment,1,10,13
8472,treatment,1,8,9.2
8473,control,0,5,8
8474,treatment,1,2,3.2
8475,treatment,1,6,7
8476,control,0,7,10.2
8477,control,0,10,13
8478,control,0,2,5.2
8479,control,0,3,4.2
8480,treatment,1,6,7
8481,treatment,1,9,11
8482,treatment,1,6,7
8483,control,0,6,8
8484,treatment,1,10,13.2
8485,control,0,5,7.2
8486,control,0,7,10.2
8487,treatment,1,4,6
8488,control,0,11,13.2
8489,treatment,1,9,10
8490,treatment,1,5,8.2
8491,control,0,6,8.2
8492,control,0,6,9.2
8493,treatment,1,3,6
8494,treatment,1,3,6
8495,control,0,10,11.2
8496,treatment,1,9,11
8497,control,0,6,8
8498,control,0,9,10.2
8499,control,0,2,3.2
8500,treatment,1,2,5.2
8501,control,0,5,6.2
8502,control,0,2,4
8503,treatment,1,8,9
8504,control,0,10,13
8505,treatment,1,1,3
8506,treatment,1,1,2
8507,treatment,1,9,10
8508,treatment,1,10,13.2
8509,control,0,9,11.2
8510,control,0,7,8.2
8511,treatment,1,7,8
8512,control,0,7,9
8513,control,0,10,11.2
8514,control,0,9,12.2
8515,control,0,8,9.2
8516,treatment,1,3,5.2
8517,control,0,4,5
8518,control,0,6,9.2
8519,treatment,1,4,5.2
8520,control,0,9,11
8521,treatment,1,3,5
8522,control,0,4,7.2
8523,control,0,8,10
8524,control,0,4,7
8525,control,0,10,13
8526,treatment,1,7,8
8527,treatment,1,10,12
8528,treatment,1,6,7.2
8529,control,0,10,12.2
8530,control,0,2,3.2
8531,treatment,1,8,9.2
8532,control,0,10,13.2
8533,control,0,8,9
8534,treatment,1,1,4
8535,control,0,1,4
8536,treatment,1,10,13.2
8537,treatment,1,10,11.2
8538,treatment,1,5,8.2
8539,control,0,9,11
8540,treatment,1,6,7.2
8541,treatment,1,1,4
8542,treatment,1,9,12
8543,control,0,3,6.2
8544,treatment,1,2,3
8545,control,0,9,12.2
8546,treatment,1,4,7
8547,treatment,1,7,10
8548,control,0,5,6.2
8549,control,0,6,7
8550,treatment,1,3,4.2
8551,control,0,6,7.2
8552,treatment,1,10,13.2
8553,treatment,1,9,11.2
8554,treatment,1,6,9.2
8555,treatment,1,4,7.2
8556,control,0,3,6.2
8557,treatment,1,5,8
8558,treatment,1,8,9.2
8559,control,0,10,11.2
8560,control,0,5,8
8561,control,0,3,4.2
8562,control,0,1,4
8563,treatment,1,5,8.2
8564,treatment,1,5,7.2
8565,control,0,9,10.2
8566,control,0,6,7
8567,control,0,7,10.2
8568,treatment,1,9,11
8569,control,0,7,8
8570,treatment,1,6,8.2
8571,treatment,1,4,6.2
8572,control,0,9,12.2
8573,control,0,7,10
8574,treatment,1,7,8
8575,treatment,1,7,10.2
8576,control,0,8,10.2
8577,treatment,1,9,10.2
8578,control,0,4,7.2
8579,treatment,1,5,6.2
8580,control,0,9,12.2
8581,control,0,6,7.2
8582,treatment,1,7,10
8583,control,0,10,11
8584,control,0,6,8
8585,control,0,6,7
8586,control,0,9,12.2
8587,treatment,1,5,8.2
8588,control,0,5,6.2
8589,control,0,6,9.2
8590,treatment,1,10,12.2
8591,treatment,1,3,6
8592,control,0,10,13.2
8593,control,0,9,10
8594,control,0,3,6
8595,treatment,1,7,9
8596,control,0,3,4.2
8597,treatment,1,4,6
8598,treatment,1,8,11.2
8599,treatment,1,8,10.2
8600,treatment,1,4,6
8601,control,0,2,5
8602,treatment,1,8,9.2
8603,control,0,7,10
8604,control,0,3,6
8605,control,0,10,11.2
8606,control,0,5,8.2
8607,treatment,1,1,2
8608,control,0,6,8.2
8609,control,0,10,12
8610,treatment,1,8,11
8611,treatment,1,3,6
8612,control,0,4,7
8613,treatment,1,3,5
8614,treatment,1,3,5.2
8615,treatment,1,3,4.2
8616,treatment,1,5,8
8617,treatment,1,3,5
8618,treatment,1,5,7.2
8619,treatment,1,11,13.2
8620,control,0,10,13
8621,treatment,1,1,2
8622,control,0,6,8.2
8623,treatment,1,4,5.2
8624,control,0,1,3
8625,control,0,7,9.2
8626,treatment,1,10,12
8627,treatment,1,4,6
8628,control,0,2,3.2
8629,treatment,1,3,4.2
8630,control,0,6,9.2
8631,treatment,1,7,9.2
8632,treatment,1,4,6
8633,treatment,1,9,12
8634,control,0,3,5.2
8635,control,0,6,8
8636,treatment,1,11,12.2
8637,treatment,1,4,6
8638,control,0,7,9.2
8639,control,0,8,10
8640,treatment,1,2,3.2
8641,treatment,1,5,7.2
8642,control,0,3,4.2
8643,control,0,7,9.2
8644,control,0,6,8
8645,control,0,5,6.2
8646,treatment,1,8,11.2
8647,control,0,2,4.2
8648,control,0,11,14.2
8649,treatment,1,3,5
8650,treatment,1,10,11
8651,treatment,1,5,8
8652,control,0,6,9
8653,treatment,1,5,7
8654,control,0,9,12
8655,control,0,7,8
8656,treatment,1,8,11.2
8657,treatment,1,9,11.2
8658,control,0,2,5
8659,treatment,1,6,7
8660,control,0,11,13.2
8661,control,0,3,4.2
8662,control,0,4,7.2
8663,treatment,1,3,6
8664,treatment,1,5,8
8665,control,0,9,10.2
8666,treatment,1,8,9.2
8667,control,0,6,8
8668,control,0,5,8
8669,treatment,1,4,7.2
8670,treatment,1,5,8.2
8671,control,0,6,9
8672,control,0,11,14.2
8673,treatment,1,10,12
8674,control,0,10,12
8675,treatment,1,8,11.2
8676,treatment,1,9,10.2
8677,treatment,1,2,3.2
8678,control,0,8,9
