id,group,group_dummy,Y0,Y1
7740,treatment,1,7,9.2
7741,control,0,3,6
7742,treatment,1,7,9.2
7743,treatment,1,8,10.2
7744,treatment,1,8,10.2
7745,control,0,4,7
7746,treatment,1,11,12.2
7747,control,0,2,5
7748,treatment,1,8,10.2
7749,treatment,1,7,8.2
7750,treatment,1,7,8.2
7751,control,0,9,10
7752,control,0,7,10
7753,treatment,1,5,6.2
7754,control,0,7,8
7755,control,0,9,12
7756,treatment,1,8,9.2
7757,treatment,1,8,10.2
7758,control,0,1,4
7759,treatment,1,3,5.2
7760,treatment,1,2,3.2
7761,treatment,1,6,9.2
7762,treatment,1,8,10.2
7763,control,0,1,2
7764,control,0,10,11
7765,treatment,1,3,6.2
7766,control,0,9,10
7767,control,0,8,10
7768,control,0,7,8
7769,treatment,1,7,8.2
7770,treatment,1,2,4.2
7771,treatment,1,2,4.2
7772,control,0,10,13
7773,treatment,1,11,14.2
7774,treatment,1,3,4.2
7775,treatment,1,11,13.2
7776,treatment,1,5,7.2
7777,treatment,1,4,7.2
7778,control,0,5,8
7779,treatment,1,3,5.2
7780,treatment,1,10,11.2
7781,treatment,1,4,5.2
7782,treatment,1,3,4.2
7783,treatment,1,9,10.2
7784,control,0,1,2
7785,treatment,1,3,6.2
7786,control,0,3,5
7787,treatment,1,6,7.2
7788,control,0,2,4
7789,control,0,2,4
7790,control,0,5,7
7791,treatment,1,7,9.2
7792,control,0,9,11
7793,control,0,9,11
7794,control,0,1,2
7795,treatment,1,7,10.2
7796,control,0,1,2
7797,control,0,9,10
7798,treatment,1,3,4.2
7799,treatment,1,3,6.2
7800,treatment,1,2,3.2
7801,control,0,9,10
7802,control,0,2,4
7803,treatment,1,3,5.2
7804,control,0,2,3
7805,control,0,2,5
7806,control,0,4,7
7807,treatment,1,2,5.2
7808,treatment,1,9,10.2
7809,control,0,1,2
7810,control,0,2,4
7811,treatment,1,6,8.2
7812,treatment,1,4,7.2
7813,treatment,1,11,14.2
7814,control,0,10,12
7815,control,0,4,6
7816,control,0,1,2
7817,control,0,7,8
7818,treatment,1,3,5.2
7819,control,0,2,5
7820,treatment,1,4,5.2
7821,control,0,6,7
7822,control,0,4,6
7823,control,0,9,11
7824,treatment,1,6,9.2
7825,control,0,3,4
7826,treatment,1,5,8.2
7827,treatment,1,11,13.2
7828,control,0,3,6
7829,control,0,8,10
7830,treatment,1,10,13.2
7831,control,0,5,8
7832,control,0,5,8
7833,control,0,2,4
7834,treatment,1,4,6.2
7835,control,0,4,6
7836,control,0,10,11
7837,control,0,2,3
7838,treatment,1,2,5.2
7839,treatment,1,2,3.2
7840,control,0,6,7
7841,control,0,1,3
7842,control,0,8,11
7843,control,0,10,11
7844,control,0,1,3
7845,control,0,5,8
7846,control,0,9,12
7847,control,0,3,4
7848,control,0,3,4
7849,treatment,1,2,3.2
7850,treatment,1,4,7.2
7851,control,0,2,5
7852,treatment,1,5,6.2
7853,control,0,4,5
7854,treatment,1,9,10.2
7855,control,0,2,3
7856,treatment,1,11,14.2
7857,control,0,3,5
7858,treatment,1,10,13.2
7859,treatment,1,6,8.2
7860,treatment,1,11,12.2
7861,treatment,1,8,11.2
7862,treatment,1,6,8.2
7863,treatment,1,7,9.2
7864,control,0,2,3
7865,treatment,1,4,6.2
7866,treatment,1,8,11.2
7867,control,0,2,4
7868,control,0,10,11
7869,treatment,1,9,11.2
7870,treatment,1,6,8.2
7871,control,0,6,7
7872,control,0,7,8
7873,treatment,1,6,9.2
7874,treatment,1,10,12.2
7875,control,0,4,7
7876,treatment,1,11,13.2
7877,treatment,1,10,13.2
7878,treatment,1,2,3.2
7879,control,0,8,9
7880,control,0,1,3
7881,treatment,1,7,10.2
7882,control,0,4,5
7883,treatment,1,8,11.2
7884,control,0,3,4
7885,control,0,1,4
7886,treatment,1,8,10.2
7887,treatment,1,6,9.2
7888,treatment,1,7,10.2
7889,control,0,6,9
7890,control,0,1,4
7891,treatment,1,4,6.2
7892,treatment,1,6,7.2
7893,control,0,8,10
7894,control,0,2,5
7895,control,0,5,7
7896,treatment,1,8,10.2
7897,control,0,1,4
7898,treatment,1,7,10.2
7899,treatment,1,5,6.2
7900,control,0,4,6
7901,treatment,1,8,10.2
7902,treatment,1,3,4.2
7903,control,0,6,8
7904,control,0,5,8
7905,control,0,7,8
7906,treatment,1,9,12.2
7907,control,0,6,9
7908,control,0,6,7
7909,control,0,10,11
7910,treatment,1,5,6.2
7911,control,0,6,8
7912,treatment,1,11,12.2
7913,control,0,9,11
7914,treatment,1,3,4.2
7915,control,0,4,7
7916,control,0,8,11
7917,treatment,1,3,4.2
7918,control,0,4,5
7919,control,0,10,11
7920,control,0,2,4
7921,control,0,9,10
7922,control,0,9,11
7923,treatment,1,5,7.2
7924,control,0,6,9
7925,control,0,1,2
7926,control,0,6,7
7927,treatment,1,9,10.2
7928,treatment,1,8,10.2
7929,control,0,3,6
7930,treatment,1,9,10.2
7931,control,0,3,6
7932,control,0,9,12
7933,treatment,1,7,10.2
7934,treatment,1,4,7.2
7935,treatment,1,10,12.2
7936,control,0,4,7
7937,treatment,1,10,13.2
7938,treatment,1,5,7.2
7939,treatment,1,2,5.2
7940,treatment,1,7,10.2
7941,treatment,1,6,9.2
7942,control,0,6,8
7943,control,0,2,4
7944,treatment,1,8,11.2
7945,control,0,1,3
7946,control,0,2,5
7947,treatment,1,6,9.2
7948,control,0,10,13
7949,control,0,3,5
7950,treatment,1,4,5.2
7951,control,0,3,5
7952,control,0,4,6
7953,treatment,1,6,8.2
7954,control,0,10,13
7955,control,0,9,10
7956,control,0,3,4
7957,control,0,9,10
7958,treatment,1,9,10.2
7959,control,0,4,7
7960,control,0,4,6
7961,control,0,1,3
7962,control,0,4,5
7963,treatment,1,10,11.2
7964,treatment,1,5,6.2
7965,control,0,6,9
7966,control,0,7,9
7967,control,0,3,6
7968,control,0,2,4
7969,treatment,1,7,9.2
7970,treatment,1,10,13.2
7971,control,0,1,2
7972,control,0,3,4
7973,control,0,5,7
7974,control,0,4,6
7975,control,0,7,8
7976,control,0,8,10
7977,control,0,6,8
7978,control,0,6,8
7979,control,0,8,10
7980,control,0,9,11
7981,control,0,8,9
7982,control,0,2,4
7983,control,0,4,7
7984,control,0,6,9
7985,treatment,1,7,8.2
7986,control,0,5,6
7987,treatment,1,6,9.2
7988,control,0,7,9
7989,control,0,4,6
7990,control,0,6,8
7991,treatment,1,8,9.2
7992,treatment,1,8,10.2
7993,treatment,1,11,13.2
7994,control,0,10,12
7995,control,0,9,12
7996,treatment,1,8,9.2
7997,treatment,1,9,11.2
7998,treatment,1,9,10.2
7999,control,0,9,11
8000,treatment,1,4,7.2
8001,control,0,4,5
8002,treatment,1,3,4.2
8003,control,0,6,7
8004,treatment,1,6,8.2
8005,control,0,7,8
8006,treatment,1,7,9.2
8007,treatment,1,8,11.2
8008,treatment,1,9,10.2
8009,treatment,1,5,7.2
8010,treatment,1,9,11.2
8011,treatment,1,7,9.2
8012,control,0,10,11
8013,control,0,8,11
8014,control,0,6,8
8015,control,0,4,7
8016,treatment,1,9,11.2
8017,control,0,1,4
8018,treatment,1,5,8.2
8019,control,0,9,12
8020,control,0,7,8
8021,control,0,2,5
8022,treatment,1,11,12.2
8023,control,0,4,6
8024,treatment,1,8,10.2
8025,treatment,1,7,8.2
8026,control,0,10,12
8027,treatment,1,7,9.2
8028,control,0,6,9
8029,treatment,1,6,8.2
8030,control,0,9,10
8031,control,0,8,10
8032,treatment,1,11,12.2
8033,treatment,1,6,8.2
8034,treatment,1,9,10.2
8035,treatment,1,5,8.2
8036,control,0,7,8
8037,control,0,5,7
8038,control,0,3,6
8039,control,0,10,11
8040,control,0,8,10
8041,treatment,1,8,11.2
8042,control,0,5,8
8043,control,0,3,6
8044,treatment,1,3,6.2
8045,control,0,9,11
8046,control,0,6,9
8047,treatment,1,8,11.2
8048,treatment,1,4,6.2
8049,treatment,1,8,11.2
8050,treatment,1,9,11.2
8051,control,0,5,7
8052,control,0,5,6
8053,control,0,4,5
8054,treatment,1,4,5.2
8055,treatment,1,2,3.2
8056,control,0,9,11
8057,treatment,1,6,8.2
8058,treatment,1,5,8.2
8059,control,0,2,4
8060,treatment,1,6,9.2
8061,control,0,1,4
8062,control,0,4,6
8063,treatment,1,6,9.2
8064,control,0,4,6
8065,control,0,4,6
8066,treatment,1,10,11.2
8067,treatment,1,2,5.2
8068,treatment,1,5,8.2
8069,control,0,8,11
8070,control,0,3,5
8071,control,0,3,4
8072,treatment,1,3,4.2
8073,treatment,1,9,10.2
8074,control,0,7,10
8075,treatment,1,4,5.2
8076,treatment,1,10,11.2
8077,treatment,1,10,12.2
8078,treatment,1,11,12.2
8079,control,0,8,11
8080,control,0,6,8
8081,control,0,4,5
8082,control,0,5,6
8083,treatment,1,4,7.2
8084,treatment,1,11,14.2
8085,control,0,8,11
8086,control,0,2,4
8087,control,0,8,10
8088,treatment,1,3,4.2
8089,treatment,1,8,9.2
8090,treatment,1,2,5.2
8091,control,0,6,7
8092,treatment,1,9,10.2
8093,treatment,1,11,12.2
8094,control,0,5,8
8095,control,0,5,8
8096,treatment,1,6,8.2
8097,treatment,1,7,8.2
8098,treatment,1,6,8.2
8099,treatment,1,11,12.2
8100,control,0,8,9
8101,treatment,1,5,8.2
8102,treatment,1,8,9.2
8103,treatment,1,6,8.2
8104,control,0,10,11
8105,treatment,1,6,7.2
8106,control,0,1,2
8107,control,0,1,4
8108,control,0,9,10
8109,treatment,1,3,4.2
8110,treatment,1,4,7.2
8111,control,0,8,11
8112,treatment,1,4,7.2
8113,control,0,4,5
8114,control,0,7,9
8115,control,0,10,13
8116,control,0,6,9
8117,control,0,10,12
8118,treatment,1,3,5.2
8119,treatment,1,9,11.2
8120,control,0,10,12
8121,treatment,1,8,9.2
8122,treatment,1,9,12.2
8123,treatment,1,10,13.2
8124,treatment,1,8,10.2
8125,control,0,10,11
8126,control,0,5,7
8127,control,0,1,3
8128,control,0,6,9
8129,treatment,1,6,9.2
8130,treatment,1,4,7.2
8131,control,0,9,12
8132,treatment,1,5,8.2
8133,control,0,1,4
8134,control,0,5,7
8135,treatment,1,7,10.2
8136,control,0,6,8
8137,control,0,8,9
8138,control,0,8,10
8139,control,0,1,2
8140,control,0,5,6
8141,control,0,2,5
8142,control,0,10,12
8143,control,0,10,13
8144,control,0,4,5
8145,control,0,1,2
8146,control,0,2,5
8147,control,0,8,9
8148,treatment,1,10,13.2
8149,control,0,7,10
8150,control,0,2,3
8151,control,0,8,11
8152,control,0,4,7
8153,control,0,2,5
8154,control,0,3,4
8155,control,0,6,9
8156,control,0,9,12
8157,control,0,6,8
8158,control,0,7,9
8159,control,0,2,4
8160,control,0,6,8
8161,treatment,1,3,6.2
8162,treatment,1,6,8.2
8163,treatment,1,7,9.2
8164,control,0,2,4
8165,treatment,1,2,4.2
8166,control,0,2,5
8167,treatment,1,6,8.2
8168,control,0,9,11
8169,treatment,1,7,10.2
8170,control,0,1,2
8171,control,0,7,9
8172,control,0,4,5
8173,control,0,10,13
8174,treatment,1,5,7.2
8175,treatment,1,8,11.2
8176,treatment,1,10,11.2
8177,treatment,1,4,5.2
8178,control,0,4,5
8179,control,0,5,6
8180,treatment,1,10,11.2
8181,control,0,4,5
8182,treatment,1,4,7.2
8183,treatment,1,8,9.2
8184,control,0,4,7
8185,control,0,3,6
8186,control,0,7,8
8187,treatment,1,7,10.2
8188,treatment,1,7,9.2
8189,treatment,1,10,12.2
8190,control,0,9,11
8191,control,0,7,8
8192,treatment,1,7,8.2
8193,treatment,1,6,8.2
8194,control,0,6,8
8195,treatment,1,6,7.2
8196,control,0,5,8
8197,control,0,3,6
8198,treatment,1,4,7.2
8199,treatment,1,4,5.2
8200,treatment,1,4,5.2
8201,treatment,1,3,6.2
8202,control,0,3,4
8203,control,0,10,12
8204,control,0,7,8
8205,treatment,1,4,5.2
8206,treatment,1,7,9.2
8207,treatment,1,2,3.2
8208,treatment,1,11,14.2
8209,treatment,1,9,11.2
8210,control,0,2,4
8211,treatment,1,6,9.2
8212,treatment,1,11,14.2
8213,control,0,9,11
8214,control,0,8,11
8215,treatment,1,2,3.2
8216,treatment,1,3,5.2
8217,treatment,1,11,13.2
8218,treatment,1,7,9.2
8219,control,0,5,8
8220,control,0,10,12
8221,control,0,4,5
8222,treatment,1,2,4.2
8223,treatment,1,4,5.2
8224,treatment,1,7,10.2
8225,treatment,1,6,8.2
8226,treatment,1,9,12.2
8227,treatment,1,11,14.2
8228,control,0,7,9
8229,treatment,1,5,6.2
8230,treatment,1,8,11.2
8231,control,0,6,9
8232,treatment,1,10,13.2
8233,treatment,1,3,4.2
8234,treatment,1,4,6.2
8235,treatment,1,10,13.2
8236,control,0,9,10
8237,control,0,9,11
8238,treatment,1,4,5.2
8239,control,0,6,9
8240,treatment,1,7,8.2
8241,control,0,4,7
8242,treatment,1,2,4.2
8243,control,0,4,6
8244,treatment,1,5,7.2
8245,treatment,1,8,9.2
8246,treatment,1,8,9.2
8247,treatment,1,5,8.2
8248,control,0,9,11
8249,treatment,1,4,5.2
8250,control,0,1,2
8251,treatment,1,2,4.2
8252,treatment,1,2,3.2
8253,treatment,1,7,9.2
8254,control,0,2,5
8255,treatment,1,3,4.2
8256,treatment,1,4,7.2
8257,treatment,1,2,3.2
8258,control,0,6,7
8259,treatment,1,2,5.2
8260,control,0,6,8
8261,treatment,1,3,5.2
8262,control,0,1,3
8263,treatment,1,5,7.2
8264,control,0,5,7
8265,control,0,2,3
8266,control,0,3,4
8267,treatment,1,11,14.2
8268,control,0,10,11
8269,control,0,3,6
8270,treatment,1,3,5.2
8271,treatment,1,3,6.2
8272,treatment,1,8,10.2
8273,control,0,3,6
8274,control,0,10,12
8275,treatment,1,7,9.2
8276,control,0,1,4
8277,treatment,1,10,11.2
8278,treatment,1,2,4.2
8279,control,0,9,11
8280,treatment,1,2,3.2
8281,control,0,5,7
8282,control,0,4,7
8283,control,0,2,4
8284,treatment,1,10,11.2
8285,control,0,6,8
8286,treatment,1,11,12.2
8287,control,0,3,6
8288,control,0,6,7
8289,control,0,9,10
8290,treatment,1,9,12.2
8291,control,0,10,11
8292,control,0,2,4
8293,control,0,10,11
8294,control,0,1,3
8295,treatment,1,4,5.2
8296,treatment,1,5,7.2
8297,treatment,1,10,12.2
8298,treatment,1,4,5.2
8299,treatment,1,6,7.2
8300,control,0,7,10
8301,treatment,1,3,4.2
8302,treatment,1,5,6.2
8303,treatment,1,2,4.2
8304,control,0,2,3
8305,control,0,4,7
8306,control,0,1,4
8307,control,0,7,8
8308,control,0,9,12
8309,treatment,1,10,12.2
8310,control,0,3,4
8311,control,0,8,10
8312,control,0,3,4
8313,control,0,9,11
8314,control,0,9,12
8315,control,0,2,3
8316,treatment,1,9,11.2
8317,control,0,6,8
8318,control,0,1,2
8319,control,0,7,10
8320,treatment,1,8,11.2
8321,treatment,1,5,7.2
8322,control,0,4,7
8323,control,0,7,9
8324,treatment,1,3,5.2
8325,treatment,1,2,5.2
8326,treatment,1,3,5.2
8327,treatment,1,8,10.2
8328,treatment,1,7,8.2
8329,control,0,4,7
8330,treatment,1,5,7.2
8331,treatment,1,8,11.2
8332,control,0,6,7
8333,control,0,1,3
8334,treatment,1,10,13.2
8335,control,0,5,6
8336,treatment,1,11,13.2
8337,control,0,4,6
8338,treatment,1,8,9.2
8339,treatment,1,11,12.2
8340,treatment,1,8,10.2
8341,treatment,1,11,14.2
8342,control,0,8,10
8343,treatment,1,4,5.2
8344,treatment,1,3,5.2
8345,treatment,1,6,7.2
8346,treatment,1,2,3.2
8347,treatment,1,3,4.2
8348,treatment,1,11,13.2
8349,control,0,6,7
8350,treatment,1,9,10.2
8351,control,0,10,13
8352,control,0,4,5
8353,control,0,2,5
8354,treatment,1,9,12.2
8355,control,0,4,5
8356,treatment,1,6,8.2
8357,treatment,1,2,5.2
8358,control,0,5,8
8359,treatment,1,10,13.2
8360,treatment,1,6,8.2
8361,treatment,1,5,6.2
8362,control,0,6,9
8363,treatment,1,9,12.2
8364,treatment,1,6,7.2
8365,control,0,6,8
8366,control,0,7,10
8367,control,0,10,11
8368,control,0,5,8
8369,control,0,5,7
8370,control,0,3,5
8371,control,0,5,8
8372,control,0,8,10
8373,treatment,1,10,11.2
8374,treatment,1,7,8.2
8375,treatment,1,3,5.2
8376,treatment,1,8,9.2
8377,control,0,4,7
8378,control,0,7,8
8379,control,0,9,10
8380,treatment,1,6,7.2
8381,treatment,1,6,9.2
8382,treatment,1,10,13.2
8383,control,0,7,10
8384,control,0,5,8
8385,treatment,1,7,9.2
8386,treatment,1,2,3.2
8387,treatment,1,11,14.2
8388,treatment,1,4,6.2
8389,treatment,1,7,9.2
8390,control,0,9,10
8391,control,0,7,8
8392,treatment,1,4,5.2
8393,control,0,1,2
8394,treatment,1,10,12.2
8395,control,0,1,4
8396,control,0,4,7
8397,control,0,8,9
8398,control,0,7,9
8399,treatment,1,2,5.2
8400,treatment,1,5,8.2
8401,treatment,1,7,8.2
8402,treatment,1,10,13.2
8403,control,0,8,11
8404,control,0,6,8
8405,control,0,8,10
8406,treatment,1,11,14.2
8407,control,0,6,8
8408,treatment,1,10,11.2
8409,control,0,9,10
8410,control,0,8,11
8411,control,0,8,10
8412,treatment,1,2,3.2
8413,treatment,1,11,13.2
8414,control,0,6,8
8415,control,0,8,9
8416,control,0,2,3
8417,treatment,1,9,11.2
8418,control,0,5,7
8419,treatment,1,5,6.2
8420,control,0,10,11
8421,control,0,6,8
8422,control,0,4,7
8423,treatment,1,6,8.2
8424,control,0,10,11
8425,control,0,2,3
8426,control,0,8,10
8427,treatment,1,5,8.2
8428,treatment,1,4,6.2
8429,treatment,1,9,12.2
8430,treatment,1,8,11.2
8431,control,0,6,8
8432,treatment,1,2,3.2
8433,treatment,1,6,9.2
8434,control,0,9,10
8435,control,0,5,7
8436,treatment,1,10,12.2
8437,control,0,9,12
8438,control,0,2,3
8439,control,0,4,6
8440,treatment,1,7,10.2
8441,control,0,5,7
8442,treatment,1,6,8.2
8443,control,0,9,12
8444,control,0,10,11
8445,control,0,4,5
8446,treatment,1,8,9.2
8447,control,0,5,7
8448,treatment,1,5,6.2
8449,treatment,1,8,9.2
8450,control,0,4,7
8451,control,0,8,11
8452,treatment,1,5,6.2
8453,treatment,1,7,10.2
8454,treatment,1,8,9.2
8455,treatment,1,10,13.2
8456,treatment,1,5,8.2
8457,control,0,8,10
8458,control,0,1,2
8459,control,0,10,12
8460,control,0,10,13
8461,treatment,1,3,4.2
8462,treatment,1,10,12.2
8463,treatment,1,3,4.2
8464,treatment,1,10,12.2
8465,control,0,4,5
8466,treatment,1,11,12.2
8467,treatment,1,6,8.2
8468,control,0,2,3
8469,control,0,7,8
8470,treatment,1,3,6.2
8471,control,0,10,13
8472,treatment,1,8,9.2
8473,control,0,5,8
8474,treatment,1,2,3.2
8475,control,0,6,7
8476,treatment,1,7,10.2
8477,control,0,10,13
8478,treatment,1,2,5.2
8479,treatment,1,3,4.2
8480,control,0,6,7
8481,control,0,9,11
8482,control,0,6,7
8483,control,0,6,8
8484,treatment,1,10,13.2
8485,treatment,1,5,7.2
8486,treatment,1,7,10.2
8487,control,0,4,6
8488,treatment,1,11,13.2
8489,control,0,9,10
8490,treatment,1,5,8.2
8491,treatment,1,6,8.2
8492,treatment,1,6,9.2
8493,control,0,3,6
8494,control,0,3,6
8495,treatment,1,10,11.2
8496,control,0,9,11
8497,control,0,6,8
8498,treatment,1,9,10.2
8499,treatment,1,2,3.2
8500,treatment,1,2,5.2
8501,treatment,1,5,6.2
8502,control,0,2,4
8503,control,0,8,9
8504,control,0,10,13
8505,control,0,1,3
8506,control,0,1,2
8507,control,0,9,10
8508,treatment,1,10,13.2
8509,treatment,1,9,11.2
8510,treatment,1,7,8.2
8511,control,0,7,8
8512,control,0,7,9
8513,treatment,1,10,11.2
8514,treatment,1,9,12.2
8515,treatment,1,8,9.2
8516,treatment,1,3,5.2
8517,control,0,4,5
8518,treatment,1,6,9.2
8519,treatment,1,4,5.2
8520,control,0,9,11
8521,control,0,3,5
8522,treatment,1,4,7.2
8523,control,0,8,10
8524,control,0,4,7
8525,control,0,10,13
8526,control,0,7,8
8527,control,0,10,12
8528,treatment,1,6,7.2
8529,treatment,1,10,12.2
8530,treatment,1,2,3.2
8531,treatment,1,8,9.2
8532,treatment,1,10,13.2
8533,control,0,8,9
8534,control,0,1,4
8535,control,0,1,4
8536,treatment,1,10,13.2
8537,treatment,1,10,11.2
8538,treatment,1,5,8.2
8539,control,0,9,11
8540,treatment,1,6,7.2
8541,control,0,1,4
8542,control,0,9,12
8543,treatment,1,3,6.2
8544,control,0,2,3
8545,treatment,1,9,12.2
8546,control,0,4,7
8547,control,0,7,10
8548,treatment,1,5,6.2
8549,control,0,6,7
8550,treatment,1,3,4.2
8551,treatment,1,6,7.2
8552,treatment,1,10,13.2
8553,treatment,1,9,11.2
8554,treatment,1,6,9.2
8555,treatment,1,4,7.2
8556,treatment,1,3,6.2
8557,control,0,5,8
8558,treatment,1,8,9.2
8559,treatment,1,10,11.2
8560,control,0,5,8
8561,treatment,1,3,4.2
8562,control,0,1,4
8563,treatment,1,5,8.2
8564,treatment,1,5,7.2
8565,treatment,1,9,10.2
8566,control,0,6,7
8567,treatment,1,7,10.2
8568,control,0,9,11
8569,control,0,7,8
8570,treatment,1,6,8.2
8571,treatment,1,4,6.2
8572,treatment,1,9,12.2
8573,control,0,7,10
8574,control,0,7,8
8575,treatment,1,7,10.2
8576,treatment,1,8,10.2
8577,treatment,1,9,10.2
8578,treatment,1,4,7.2
8579,treatment,1,5,6.2
8580,treatment,1,9,12.2
8581,treatment,1,6,7.2
8582,control,0,7,10
8583,control,0,10,11
8584,control,0,6,8
8585,control,0,6,7
8586,treatment,1,9,12.2
8587,treatment,1,5,8.2
8588,treatment,1,5,6.2
8589,treatment,1,6,9.2
8590,treatment,1,10,12.2
8591,control,0,3,6
8592,treatment,1,10,13.2
8593,control,0,9,10
8594,control,0,3,6
8595,control,0,7,9
8596,treatment,1,3,4.2
8597,control,0,4,6
8598,treatment,1,8,11.2
8599,treatment,1,8,10.2
8600,control,0,4,6
8601,control,0,2,5
8602,treatment,1,8,9.2
8603,control,0,7,10
8604,control,0,3,6
8605,treatment,1,10,11.2
8606,treatment,1,5,8.2
8607,control,0,1,2
8608,treatment,1,6,8.2
8609,control,0,10,12
8610,control,0,8,11
8611,control,0,3,6
8612,control,0,4,7
8613,control,0,3,5
8614,treatment,1,3,5.2
8615,treatment,1,3,4.2
8616,control,0,5,8
8617,control,0,3,5
8618,treatment,1,5,7.2
8619,treatment,1,11,13.2
8620,control,0,10,13
8621,control,0,1,2
8622,treatment,1,6,8.2
8623,treatment,1,4,5.2
8624,control,0,1,3
8625,treatment,1,7,9.2
8626,control,0,10,12
8627,control,0,4,6
8628,treatment,1,2,3.2
8629,treatment,1,3,4.2
8630,treatment,1,6,9.2
8631,treatment,1,7,9.2
8632,control,0,4,6
8633,control,0,9,12
8634,treatment,1,3,5.2
8635,control,0,6,8
8636,treatment,1,11,12.2
8637,control,0,4,6
8638,treatment,1,7,9.2
8639,control,0,8,10
8640,treatment,1,2,3.2
8641,treatment,1,5,7.2
8642,treatment,1,3,4.2
8643,treatment,1,7,9.2
8644,control,0,6,8
8645,treatment,1,5,6.2
8646,treatment,1,8,11.2
8647,treatment,1,2,4.2
8648,treatment,1,11,14.2
8649,control,0,3,5
8650,control,0,10,11
8651,control,0,5,8
8652,control,0,6,9
8653,control,0,5,7
8654,control,0,9,12
8655,control,0,7,8
8656,treatment,1,8,11.2
8657,treatment,1,9,11.2
8658,control,0,2,5
8659,control,0,6,7
8660,treatment,1,11,13.2
8661,treatment,1,3,4.2
8662,treatment,1,4,7.2
8663,control,0,3,6
8664,control,0,5,8
8665,treatment,1,9,10.2
8666,treatment,1,8,9.2
8667,control,0,6,8
8668,control,0,5,8
8669,treatment,1,4,7.2
8670,treatment,1,5,8.2
8671,control,0,6,9
8672,treatment,1,11,14.2
8673,control,0,10,12
8674,control,0,10,12
8675,treatment,1,8,11.2
8676,treatment,1,9,10.2
8677,treatment,1,2,3.2
8678,control,0,8,9
8679,treatment,1,6,8.2
8680,treatment,1,7,9.2
8681,treatment,1,4,5.2
8682,treatment,1,2,3.2
8683,control,0,1,2
8684,control,0,9,11
8685,treatment,1,9,11.2
8686,control,0,1,2
8687,treatment,1,2,4.2
8688,treatment,1,6,9.2
8689,treatment,1,4,7.2
8690,control,0,7,8
8691,treatment,1,5,7.2
8692,treatment,1,11,12.2
8693,control,0,10,11
8694,control,0,7,9
8695,treatment,1,5,8.2
8696,control,0,5,6
8697,control,0,5,6
8698,control,0,5,6
8699,control,0,6,7
8700,control,0,2,5
8701,control,0,6,7
8702,treatment,1,5,8.2
8703,control,0,10,11
8704,control,0,4,6
8705,control,0,4,5
8706,treatment,1,7,9.2
8707,treatment,1,10,13.2
8708,control,0,1,4
8709,control,0,10,13
8710,treatment,1,6,9.2
8711,treatment,1,4,7.2
8712,treatment,1,7,8.2
8713,control,0,4,7
8714,control,0,2,3
8715,treatment,1,9,10.2
8716,treatment,1,7,10.2
8717,treatment,1,11,14.2
8718,control,0,1,3
8719,treatment,1,11,12.2
8720,treatment,1,2,4.2
8721,treatment,1,4,5.2
8722,control,0,8,11
8723,control,0,8,9
8724,control,0,10,12
8725,treatment,1,11,14.2
8726,control,0,7,8
8727,control,0,10,13
8728,treatment,1,6,7.2
8729,control,0,8,9
8730,control,0,7,9
8731,control,0,7,8
8732,treatment,1,6,7.2
8733,treatment,1,8,11.2
8734,control,0,7,8
8735,treatment,1,7,9.2
8736,treatment,1,4,5.2
8737,treatment,1,8,9.2
8738,control,0,4,7
8739,control,0,8,10
8740,control,0,10,13
8741,control,0,9,10
8742,treatment,1,7,9.2
8743,treatment,1,8,9.2
8744,control,0,2,3
8745,control,0,9,12
8746,control,0,4,5
8747,control,0,1,3
8748,control,0,4,5
8749,treatment,1,5,7.2
8750,control,0,4,5
8751,treatment,1,9,12.2
8752,treatment,1,8,9.2
8753,treatment,1,8,9.2
8754,treatment,1,2,5.2
8755,control,0,2,3
8756,control,0,2,4
8757,treatment,1,2,4.2
8758,control,0,5,8
8759,treatment,1,6,8.2
8760,treatment,1,4,7.2
8761,treatment,1,10,12.2
8762,treatment,1,4,7.2
8763,control,0,2,4
8764,control,0,6,7
8765,treatment,1,11,12.2
8766,control,0,10,12
8767,control,0,9,10
8768,treatment,1,6,9.2
8769,control,0,5,7
8770,control,0,6,7
8771,treatment,1,10,12.2
8772,control,0,8,10
8773,treatment,1,9,10.2
8774,treatment,1,9,12.2
8775,control,0,3,4
8776,control,0,1,4
8777,treatment,1,2,3.2
8778,control,0,3,4
8779,treatment,1,3,4.2
8780,control,0,3,4
8781,control,0,2,4
8782,treatment,1,11,13.2
8783,control,0,10,11
8784,treatment,1,3,5.2
8785,control,0,4,7
8786,control,0,2,3
8787,treatment,1,8,11.2
8788,treatment,1,7,9.2
8789,control,0,8,11
8790,treatment,1,11,12.2
8791,treatment,1,10,13.2
8792,treatment,1,9,11.2
8793,control,0,9,12
8794,treatment,1,2,5.2
8795,control,0,1,4
8796,treatment,1,6,9.2
8797,control,0,10,13
8798,treatment,1,11,12.2
8799,control,0,2,5
8800,treatment,1,6,9.2
8801,treatment,1,10,13.2
8802,control,0,5,6
8803,treatment,1,4,6.2
8804,treatment,1,6,7.2
8805,treatment,1,5,7.2
8806,treatment,1,8,10.2
8807,treatment,1,5,8.2
8808,control,0,10,12
8809,control,0,7,10
8810,control,0,10,11
8811,control,0,9,12
8812,control,0,8,11
8813,control,0,1,4
8814,control,0,5,7
8815,control,0,7,10
8816,treatment,1,6,9.2
8817,treatment,1,3,4.2
